ID,Sta,cast,nisk,qc,YYYY,MM,DD,TIME,Lat,Long,btm,Press,CTD T,CTD Salt,Bot Sal,qc,CTD O2,Bot O2,qc,DIC,qc,TA,qc,pH TOT,pH Temp,qc,CO3,qc,Sil,Amm,Nitra,Nitri,PO4,qc,Line,PO4 4 co2sys,SIL 4 co2sys,nut flag,TA 4 co2sys,TA flag,DIC 4 co2sys,DIC flag,Blanc1,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor,Blanc2,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor
640101,64,1,1,2,2016,05,25,12:19:02,40.004,-124.937,1492,1496.1,2.63,34.545,34.547,2,40.5,41.2,2,2380.4,6,2405.4,6,7.3663,25.0,2,57.27,2,150.24,0.05,42.85,0.03,3.12,2,8,3.12,150.24,2,2405.4,2,2380.4,2,,7.631,962.23,54.63,2276.99,48.79,0.86,0.55,19.26,,7.631,962.23,54.63,2276.99,48.79,0.86,0.55,19.26
640102,64,1,2,2,2016,05,25,12:29:07,40.004,-124.937,1492,1000.7,3.55,34.451,-999.000,9,16.9,-999,5,2370.2,2,2377.1,2,7.3169,25.0,2,47.69,3,124.38,0.02,44.76,0.03,3.27,2,8,3.27,124.38,2,2377.1,2,2370.2,2,,7.579,1148.92,63.07,2264.12,43.01,0.84,0.54,19.11,,7.579,1148.92,63.07,2264.12,43.01,0.84,0.54,19.11
640103,64,1,3,2,2016,05,25,12:34:47,40.004,-124.937,1492,750.5,4.19,34.344,-999.000,9,9.0,9.0,2,2356.4,2,2354.6,2,7.2897,25.0,2,46.74,2,110.03,0.01,43.52,0.05,3.25,2,8,3.25,110.03,2,2354.6,2,2356.4,2,,7.552,1254.87,67.34,2248.68,40.38,0.83,0.53,18.91,,7.552,1254.87,67.34,2248.68,40.38,0.83,0.53,18.91
640104,64,1,4,2,2016,05,25,12:40:38,40.004,-124.937,1492,500.9,4.97,34.215,-999.000,9,15.6,14.3,2,2329.3,2,2324.7,2,7.2849,25.0,2,45.50,3,89.62,0.06,42.24,0.03,3.01,2,8,3.01,89.62,2,2324.7,2,2329.3,2,,7.544,1307.82,68.29,2221.47,39.54,0.86,0.54,18.76,,7.544,1307.82,68.29,2221.47,39.54,0.86,0.54,18.76
640105,64,1,5,2,2016,05,25,12:44:06,40.004,-124.937,1492,401.2,5.42,34.138,-999.000,9,29.9,-999,9,2308.7,2,2311.8,2,7.3014,25.0,2,46.44,2,79.71,0.06,40.68,0.05,3.04,2,8,3.04,79.71,2,2311.8,2,2308.7,2,,7.568,1244.99,63.99,2202.87,41.84,0.93,0.59,18.83,,7.568,1244.99,63.99,2202.87,41.84,0.93,0.59,18.83
640106,64,1,6,2,2016,05,25,12:47:38,40.004,-124.937,1492,301.2,5.98,34.082,-999.000,9,46.5,46.3,2,2286.3,2,2292.0,2,7.3303,25.0,2,49.14,2,67.37,0.00,38.75,0.04,2.85,2,8,2.85,67.37,2,2292.0,2,2286.3,2,,7.574,1234.81,62.25,2181.45,42.61,0.96,0.61,18.79,,7.574,1234.81,62.25,2181.45,42.61,0.96,0.61,18.79
640107,64,1,7,2,2016,05,25,12:51:11,40.004,-124.937,1492,201.1,6.69,34.019,-999.000,9,74.7,74.3,2,2253.8,2,2282.3,2,7.3840,25.0,2,54.77,2,54.43,0.08,35.58,0.05,2.59,2,8,2.59,54.43,2,2282.3,2,2253.8,2,,7.647,1045.29,51.41,2151.60,50.80,1.17,0.74,18.69,,7.647,1045.29,51.41,2151.60,50.80,1.17,0.74,18.69
640108,64,1,8,2,2016,05,25,12:53:40,40.004,-124.937,1492,150.1,7.23,33.988,-999.000,9,90.2,88.7,2,2238.3,2,2274.2,2,7.4156,25.0,2,58.33,2,47.76,0.01,33.31,0.05,2.44,2,8,2.44,47.76,2,2274.2,2,2238.3,2,,7.668,999.42,48.25,2136.25,53.79,1.25,0.79,18.52,,7.668,999.42,48.25,2136.25,53.79,1.25,0.79,18.52
640109,64,1,9,2,2016,05,25,12:55:33,40.004,-124.937,1492,125.2,7.51,33.955,-999.000,9,100.7,-999,9,2226.6,2,2268.1,2,7.4393,25.0,2,61.78,2,43.71,0.03,32.02,0.07,2.33,2,8,2.33,43.71,2,2268.1,2,2226.6,2,,7.685,960.92,45.96,2124.55,56.09,1.31,0.83,18.38,,7.685,960.92,45.96,2124.55,56.09,1.31,0.83,18.38
640110,64,1,10,2,2016,05,25,12:57:48,40.004,-124.937,1492,100.9,7.83,33.905,-999.000,9,113.7,-999,9,2208.1,2,2262.0,2,7.4730,25.0,2,65.57,2,37.38,0.04,29.63,0.03,2.14,2,8,2.14,37.38,2,2262.0,2,2208.1,2,,7.724,874.51,41.37,2105.28,61.45,1.45,0.92,18.01,,7.724,874.51,41.37,2105.28,61.45,1.45,0.92,18.01
